Asset Name,Serial Number,Status,Account Name,Product Code,Product Family,Product Family Short Name,Active Service,Territory,Service Contract Status Simple,Contract_Status_Clean,Service Start Date,Service End Date,has_active_contract,lat,lon,matched_appointment_account,match_method,match_score,matched
"APP1137 - Apollo Pre-Hospital Patient Simulator, Maestro",APP1137,Shipped,Springfield Technical Community College,FLEX-APH-MAESTRO,Apollo Pre-Hospital,Apollo,0,New England,Service Contract has expired,Service Contract has expired,2023-05-18,2024-05-17,False,42.1018764,-72.5886727,Springfield Technical Community College,exact,100.0,True
ARIA0445 - Aria,ARIA0445,Shipped,Centre for Nursing Studies - CNS,PED-300,Aria,Aria,1,Canada,Active Service Contract,Active Service Contract,2024-01-28,2027-01-27,True,,,,,,False
LUNA0521 - Luna Advanced,LUNA0521,Shipped,Centre for Nursing Studies - CNS,LUNA-300,Luna,Luna,1,Canada,Active Service Contract,Active Service Contract,2023-01-28,2027-01-27,True,,,,,,False
LUNA0519 - Luna Advanced,LUNA0519,Shipped,Centre for Nursing Studies - CNS,LUNA-300,Luna,Luna,1,Canada,Active Service Contract,Active Service Contract,2023-01-28,2027-01-27,True,,,,,,False
ARES1263 - Ares Complete,ARES1263,Shipped,Concorde Career College - San Antonio,ARES-300,Ares,Ares,0,South Texas,Service Contract has expired,Service Contract has expired,2023-05-14,2024-05-13,False,,,,,,False
ARES1231DS - Ares Complete,ARES1231DS,Shipped,Miami University Oxford,ARES-300,Ares,Ares,0,Great Lakes,,Missing Contract Status,2024-12-31,2026-12-30,False,39.5103048,-84.7420519,Miami University Oxford,exact,100.0,True
JUNO3739 - Juno Complete,JUNO3739,Shipped,Calera High School,JUN-300,Juno,Juno,0,Gulf Coast,Service Contract has expired,Service Contract has expired,2024-05-14,2025-05-13,False,,,,,,False
JUNO3707 - Juno Complete,JUNO3707,Installed,Miami University Oxford,JUN-300,Juno,Juno,0,Great Lakes,Service Contract has expired,Service Contract has expired,2023-05-14,2024-05-13,False,39.5103048,-84.7420519,Miami University Oxford,exact,100.0,True
JUNO3704 - Juno Complete,JUNO3704,Shipped,Miami University Oxford,JUN-300,Juno,Juno,0,Great Lakes,Service Contract has expired,Service Contract has expired,2023-05-14,2024-05-13,False,39.5103048,-84.7420519,Miami University Oxford,exact,100.0,True
JUNO3705 - Juno Complete,JUNO3705,Shipped,Miami University Oxford,JUN-300,Juno,Juno,0,Great Lakes,Service Contract has expired,Service Contract has expired,2023-05-14,2024-05-13,False,39.5103048,-84.7420519,Miami University Oxford,exact,100.0,True
JUNO3706 - Juno Complete,JUNO3706,Shipped,Miami University Oxford,JUN-300,Juno,Juno,0,Great Lakes,Service Contract has expired,Service Contract has expired,2023-05-14,2024-05-13,False,39.5103048,-84.7420519,Miami University Oxford,exact,100.0,True
JUNO3674 - Juno Complete,JUNO3674,Shipped,Miami University Oxford,JUN-300,Juno,Juno,0,Great Lakes,Service Contract has expired,Service Contract has expired,2023-05-14,2024-05-13,False,39.5103048,-84.7420519,Miami University Oxford,exact,100.0,True
JUNO3716DS - Juno Complete,JUNO3716DS,Shipped,Miami University Oxford,JUN-300,Juno,Juno,0,Great Lakes,Service Contract has expired,Service Contract has expired,2023-05-14,2024-05-13,False,39.5103048,-84.7420519,Miami University Oxford,exact,100.0,True
JUNO3729DS - Juno Complete,JUNO3729DS,Shipped,Miami University Oxford,JUN-300,Juno,Juno,0,Great Lakes,Service Contract has expired,Service Contract has expired,2023-05-14,2024-05-13,False,39.5103048,-84.7420519,Miami University Oxford,exact,100.0,True
JUNO3715DS - Juno Complete,JUNO3715DS,Shipped,Miami University Oxford,JUN-300,Juno,Juno,0,Great Lakes,Service Contract has expired,Service Contract has expired,2023-05-14,2024-05-13,False,39.5103048,-84.7420519,Miami University Oxford,exact,100.0,True
JUNO3712DS - Juno Complete,JUNO3712DS,Shipped,Miami University Oxford,JUN-300,Juno,Juno,0,Great Lakes,Service Contract has expired,Service Contract has expired,2023-05-14,2024-05-13,False,39.5103048,-84.7420519,Miami University Oxford,exact,100.0,True
JUNO3717DS - Juno Complete,JUNO3717DS,Shipped,Miami University Oxford,JUN-300,Juno,Juno,0,Great Lakes,Service Contract has expired,Service Contract has expired,2023-05-14,2024-05-13,False,39.5103048,-84.7420519,Miami University Oxford,exact,100.0,True
"APP1127 - Apollo Pre-Hospital Patient Simulator, Maestro",APP1127,Shipped,Miami University Oxford,FLEX-APH-MAESTRO,Apollo Pre-Hospital,Apollo,1,Great Lakes,Active Service Contract,Active Service Contract,2025-05-14,2026-05-13,True,39.5103048,-84.7420519,Miami University Oxford,exact,100.0,True
"APP1119 - Apollo Pre-Hospital Patient Simulator, Maestro",APP1119,Shipped,Miami University Oxford,FLEX-APH-MAESTRO,Apollo Pre-Hospital,Apollo,1,Great Lakes,Active Service Contract,Active Service Contract,2025-05-14,2026-05-13,True,39.5103048,-84.7420519,Miami University Oxford,exact,100.0,True
"APP1122DS - Apollo Pre-Hospital Patient Simulator, Maestro",APP1122DS,Shipped,Miami University Oxford,FLEX-APH-MAESTRO,Apollo Pre-Hospital,Apollo,1,Great Lakes,Active Service Contract,Active Service Contract,2025-05-14,2026-05-13,True,39.5103048,-84.7420519,Miami University Oxford,exact,100.0,True
MFS2820DS - Lucina Patient Simulator with Maestro,MFS2820DS,Shipped,Miami University Oxford,FLEX-MFS-MAESTRO,Lucina,Lucina,1,Great Lakes,Active Service Contract,Active Service Contract,2025-12-31,2026-12-30,True,39.5103048,-84.7420519,Miami University Oxford,exact,100.0,True
ARIA0447 - Aria Advanced with Physiology,ARIA0447,Installed,Miami University Oxford,Ped-400,Aria,Aria,1,Great Lakes,Active Service Contract,Active Service Contract,2025-05-14,2026-05-13,True,39.5103048,-84.7420519,Miami University Oxford,exact,100.0,True
ARIA0382DS - Aria Advanced with Physiology,ARIA0382DS,Shipped,Miami University Oxford,Ped-400,Aria,Aria,1,Great Lakes,Active Service Contract,Active Service Contract,2025-05-14,2026-12-30,True,39.5103048,-84.7420519,Miami University Oxford,exact,100.0,True
VMDX2410 - Elevate Vimedix Abdominal Ultrasound Simulator Base Unit-Abdominal,VMDX2410,Shipped,University of Minnesota,VIM-008.1,Vimedix,Vimedix,0,Northern Plains,,Missing Contract Status,2024-05-12,2028-07-11,False,,,,,,False
JUNO3659 - Juno Base,JUNO3659,Shipped,Dougherty County School System,JUN-100,Juno,Juno,0,North Florida,Service Contract has expired,Service Contract has expired,2023-05-12,2024-05-11,False,,,,,,False
JUNO3670 - Juno Base,JUNO3670,Shipped,Dougherty County School System,JUN-100,Juno,Juno,0,North Florida,Service Contract has expired,Service Contract has expired,2023-05-12,2024-05-11,False,,,,,,False
JUNO3695 - Juno Base,JUNO3695,Shipped,Dougherty County School System,JUN-100,Juno,Juno,0,North Florida,Service Contract has expired,Service Contract has expired,2023-05-12,2024-05-11,False,,,,,,False
JUNO3698 - Juno Base,JUNO3698,Shipped,Dougherty County School System,JUN-100,Juno,Juno,0,North Florida,Service Contract has expired,Service Contract has expired,2023-05-12,2024-05-11,False,,,,,,False
JUNO3699 - Juno Base,JUNO3699,Shipped,Dougherty County School System,JUN-100,Juno,Juno,0,North Florida,Service Contract has expired,Service Contract has expired,2023-05-12,2024-05-11,False,,,,,,False
JUNO3697 - Juno Base,JUNO3697,Shipped,Dougherty County School System,JUN-100,Juno,Juno,0,North Florida,Service Contract has expired,Service Contract has expired,2023-05-12,2024-05-11,False,,,,,,False
JUNO3694 - Juno Base,JUNO3694,Shipped,Toledo Public Schools,JUN-100,Juno,Juno,0,Great Lakes,Service Contract has expired,Service Contract has expired,2023-05-12,2024-05-11,False,,,,,,False
JUNO3696 - Juno Base,JUNO3696,Shipped,Toledo Public Schools,JUN-100,Juno,Juno,0,Great Lakes,Service Contract has expired,Service Contract has expired,2023-05-12,2024-05-11,False,,,,,,False
JUNO3721 - Juno Complete,JUNO3721,Shipped,Dougherty County School System,JUN-300,Juno,Juno,0,North Florida,Service Contract has expired,Service Contract has expired,2023-05-12,2024-05-11,False,,,,,,False
JUNO3719 - Juno Complete,JUNO3719,Shipped,Dougherty County School System,JUN-300,Juno,Juno,0,North Florida,Service Contract has expired,Service Contract has expired,2023-05-12,2024-05-11,False,,,,,,False
JUNO3720 - Juno Complete,JUNO3720,Shipped,Dougherty County School System,JUN-300,Juno,Juno,0,North Florida,Service Contract has expired,Service Contract has expired,2023-05-12,2024-05-11,False,,,,,,False
JUNO3718 - Juno Complete,JUNO3718,Shipped,Valencia College - West Campus,JUN-300,Juno,Juno,0,North Florida,Service Contract has expired,Service Contract has expired,2023-05-12,2024-05-11,False,28.5421218,-81.379045,Valencia College - West Campus,exact,100.0,True
JUNO3708 - Juno Complete,JUNO3708,Shipped,Grenada Career and Technical Center,JUN-300,Juno,Juno,0,Gulf Coast,Service Contract has expired,Service Contract has expired,2023-05-12,2024-05-11,False,,,,,,False
JUNO3709 - Juno Complete,JUNO3709,Shipped,First Coast Technical College,JUN-300,Juno,Juno,0,North Florida,Service Contract has expired,Service Contract has expired,2023-05-12,2024-05-11,False,,,,,,False
JUNO3713DS - Juno Complete,JUNO3713DS,Shipped,First Coast Technical College,JUN-300,Juno,Juno,0,North Florida,Service Contract has expired,Service Contract has expired,2023-05-12,2024-05-11,False,,,,,,False
"APP1128 - Apollo Pre-Hospital Patient Simulator, Maestro",APP1128,Shipped,Nova Southeastern University - Dr. Kiran C. Patel College of Allopathic Med-(Jacksonville),FLEX-APH-MAESTRO,Apollo Pre-Hospital,Apollo,1,North Florida,Active Service Contract,Active Service Contract,2025-10-01,2028-09-30,True,,,,,,False
MFS2815DS - Lucina Patient Simulator with Maestro,MFS2815DS,Shipped,Santa Fe College-Gainesville,FLEX-MFS-MAESTRO,Lucina,Lucina,0,North Florida,Service Contract has expired,Service Contract has expired,2024-05-15,2025-05-14,False,,,,,,False
VMDX2409 - Elevate Vimedix Abdominal Ultrasound Simulator Base Unit-Abdominal,VMDX2409,Shipped,Southwestern Community College (NC),VIM-008.1,Vimedix,Vimedix,0,Carolinas/Virginias,,Missing Contract Status,2024-05-07,2026-05-06,False,35.3737293,-83.2259222,Southwestern Community College (NC),exact,100.0,True
"APN0442 - Apollo Nursing Patient Simulator, Maestro",APN0442,Shipped,San Jacinto College South Campus,FLEX-APN-MAESTRO,Apollo Nursing,Apollo,1,South Texas,Active Service Contract,Active Service Contract,2025-05-05,2026-05-04,True,,,,,,False
JUNO3703 - Juno Complete,JUNO3703,Shipped,Washtenaw Community College,JUN-300,Juno,Juno,1,Great Lakes,Active Service Contract,Active Service Contract,2025-05-05,2026-05-04,True,42.2813722,-83.7484616,Washtenaw Community College,exact,100.0,True
ARES1230DS - Ares Complete,ARES1230DS,Shipped,University of the Incarnate Word - School of Osteopathic Medicine,ARES-300,Ares,Ares,1,South Texas,Active Service Contract,Active Service Contract,2023-04-30,2028-04-29,True,29.4246002,-98.4951405,University of the Incarnate Word - School of Osteopathic Medicine,exact,100.0,True
ARES1257 - Ares Complete,ARES1257,Shipped,University of the Incarnate Word - School of Osteopathic Medicine,ARES-300,Ares,Ares,1,South Texas,Active Service Contract,Active Service Contract,2024-04-30,2028-04-29,True,29.4246002,-98.4951405,University of the Incarnate Word - School of Osteopathic Medicine,exact,100.0,True
"APN0436 - Apollo Nursing Patient Simulator, Maestro",APN0436,Shipped,Russell County Schools,FLEX-APN-MAESTRO,Apollo Nursing,Apollo,0,Great Lakes,Service Contract has expired,Service Contract has expired,2023-04-30,2024-04-29,False,,,,,,False
JUNO3689DS - Juno Complete,JUNO3689DS,Shipped,Boca Ciega High School,JUN-300,Juno,Juno,1,North Florida,Active Service Contract,Active Service Contract,2025-07-01,2026-06-30,True,,,,,,False
JUNO3677 - Juno Complete,JUNO3677,Shipped,Boca Ciega High School,JUN-300,Juno,Juno,1,North Florida,Active Service Contract,Active Service Contract,2025-07-01,2026-06-30,True,,,,,,False
JUNO3665 - Juno Complete,JUNO3665,Shipped,J Sergeant Reynolds Community College,JUN-300,Juno,Juno,1,Carolinas/Virginias,Active Service Contract,Active Service Contract,2025-04-28,2026-04-27,True,,,,,,False
JUNO3675 - Juno Complete,JUNO3675,Shipped,J Sergeant Reynolds Community College,JUN-300,Juno,Juno,1,Carolinas/Virginias,Active Service Contract,Active Service Contract,2025-04-28,2026-04-27,True,,,,,,False
JUNO3691DS - Juno Complete,JUNO3691DS,Shipped,J Sergeant Reynolds Community College,JUN-300,Juno,Juno,1,Carolinas/Virginias,Active Service Contract,Active Service Contract,2025-04-28,2026-04-27,True,,,,,,False
JUNO3686DS - Juno Complete,JUNO3686DS,Shipped,J Sergeant Reynolds Community College,JUN-300,Juno,Juno,1,Carolinas/Virginias,Active Service Contract,Active Service Contract,2025-04-28,2026-04-27,True,,,,,,False
JUNO3688DS - Juno Complete,JUNO3688DS,Shipped,J Sergeant Reynolds Community College,JUN-300,Juno,Juno,1,Carolinas/Virginias,Active Service Contract,Active Service Contract,2025-04-28,2026-04-27,True,,,,,,False
ARIA0441 - Aria,ARIA0441,Shipped,Trine University- School of Health Sciences,PED-300,Aria,Aria,0,Illinois,,Missing Contract Status,2023-07-29,2026-07-28,False,41.0799898,-85.1386015,Trine University- School of Health Sciences,exact,100.0,True
ARIA0442 - Aria,ARIA0442,Shipped,Nova Southeastern University - Denver Regional,PED-300,Aria,Aria,1,West Plains,Active Service Contract,Active Service Contract,2025-10-01,2028-09-30,True,39.579155,-104.8769227,Nova Southeastern University - Denver Regional,exact,100.0,True
JUNO3640 - Juno Complete,JUNO3640,Shipped,Palm Beach State College- Lake Worth Campus,JUN-300,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2025-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3620 - Juno Complete,JUNO3620,Shipped,Palm Beach State College- Lake Worth Campus,JUN-300,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2023-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3638 - Juno Complete,JUNO3638,Shipped,Palm Beach State College- Lake Worth Campus,JUN-300,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2023-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3646 - Juno Complete,JUNO3646,Shipped,Palm Beach State College- Lake Worth Campus,JUN-300,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2023-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3652 - Juno Complete,JUNO3652,Shipped,Palm Beach State College- Lake Worth Campus,JUN-300,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2023-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3653 - Juno Complete,JUNO3653,Shipped,Palm Beach State College- Lake Worth Campus,JUN-300,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2023-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3643 - Juno Complete,JUNO3643,Shipped,Palm Beach State College- Lake Worth Campus,JUN-300,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2023-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3647 - Juno Complete,JUNO3647,Shipped,Palm Beach State College- Lake Worth Campus,JUN-300,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2023-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3642 - Juno Complete,JUNO3642,Shipped,Palm Beach State College- Lake Worth Campus,JUN-300,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2023-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3645 - Juno Complete,JUNO3645,Shipped,Palm Beach State College- Lake Worth Campus,JUN-300,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2023-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3648 - Juno Complete,JUNO3648,Shipped,Palm Beach State College- Lake Worth Campus,JUN-300,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2023-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
ARIA0432 - Aria,ARIA0432,Installed,Northeast Alabama Community College,PED-300,Aria,Aria,1,Gulf Coast,Active Service Contract,Active Service Contract,2023-04-27,2026-04-26,True,34.4942536,-85.8477494,Northeast Alabama Community College,exact,100.0,True
ARIA0427 - Aria,ARIA0427,Shipped,Northeast Alabama Community College,PED-300,Aria,Aria,1,Gulf Coast,Active Service Contract,Active Service Contract,2024-04-27,2026-04-26,True,34.4942536,-85.8477494,Northeast Alabama Community College,exact,100.0,True
ARIA0434 - Aria,ARIA0434,Shipped,Palm Beach State College- Lake Worth Campus,PED-300,Aria,Aria,1,South Florida,Active Service Contract,Active Service Contract,2025-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
ARIA0438 - Aria,ARIA0438,Shipped,Forsyth Technical Community College,PED-300,Aria,Aria,1,Carolinas/Virginias,Active Service Contract,Active Service Contract,2025-04-27,2026-04-26,True,,,,,,False
"APP1126 - Apollo Pre-Hospital Patient Simulator, Maestro",APP1126,Installed,North Dakota SIM ND - Minot,FLEX-APH-MAESTRO,Apollo Pre-Hospital,Apollo,1,Northern Plains,Active Service Contract,Active Service Contract,2024-04-27,2026-04-26,True,48.23251,-101.296273,North Dakota SIM ND - Minot,exact,100.0,True
"APP1121 - Apollo Pre-Hospital Patient Simulator, Maestro",APP1121,Installed,North Dakota SIM ND - Fargo,FLEX-APH-MAESTRO,Apollo Pre-Hospital,Apollo,1,Northern Plains,Active Service Contract,Active Service Contract,2025-04-27,2026-04-26,True,46.877229,-96.789821,North Dakota SIM ND - Fargo,exact,100.0,True
"APP1125 - Apollo Pre-Hospital Patient Simulator, Maestro",APP1125,Installed,North Dakota SIM ND - Bismarck,FLEX-APH-MAESTRO,Apollo Pre-Hospital,Apollo,1,Northern Plains,Active Service Contract,Active Service Contract,2024-04-27,2026-04-26,True,46.808327,-100.78373900000001,North Dakota SIM ND - Bismarck,exact,100.0,True
"APP1106 - Apollo Pre-Hospital Patient Simulator, Maestro",APP1106,Installed,University of North Dakota Grand Forks,FLEX-APH-MAESTRO,Apollo Pre-Hospital,Apollo,1,Northern Plains,Active Service Contract,Active Service Contract,2025-04-27,2026-04-26,True,47.9252104,-97.03063250000001,University of North Dakota Grand Forks,exact,100.0,True
MFS2798 - Lucina Patient Simulator with Maestro,MFS2798,Installed,North Dakota SIM ND - Fargo,FLEX-MFS-MAESTRO,Lucina,Lucina,1,Northern Plains,Active Service Contract,Active Service Contract,2025-04-27,2026-04-26,True,46.877229,-96.789821,North Dakota SIM ND - Fargo,exact,100.0,True
MFS2790 - Lucina Patient Simulator with Maestro,MFS2790,Shipped,North Dakota SIM ND - Bismarck,FLEX-MFS-MAESTRO,Lucina,Lucina,1,Northern Plains,Active Service Contract,Active Service Contract,2024-04-27,2026-04-26,True,46.808327,-100.78373900000001,North Dakota SIM ND - Bismarck,exact,100.0,True
MFS2789 - Lucina Patient Simulator with Maestro,MFS2789,Shipped,University of North Dakota Grand Forks,FLEX-MFS-MAESTRO,Lucina,Lucina,1,Northern Plains,Active Service Contract,Active Service Contract,2025-04-27,2026-04-26,True,47.9252104,-97.03063250000001,University of North Dakota Grand Forks,exact,100.0,True
MFS2787 - Lucina Patient Simulator with Maestro,MFS2787,Shipped,North Dakota SIM ND - Minot,FLEX-MFS-MAESTRO,Lucina,Lucina,1,Northern Plains,Active Service Contract,Active Service Contract,2023-04-27,2026-04-26,True,48.23251,-101.296273,North Dakota SIM ND - Minot,exact,100.0,True
MFS2788 - Lucina Patient Simulator with Maestro,MFS2788,Shipped,Palm Beach State College- Lake Worth Campus,FLEX-MFS-MAESTRO,Lucina,Lucina,1,South Florida,Active Service Contract,Active Service Contract,2025-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
LUNA0505 - Luna Advanced,LUNA0505,Shipped,Palm Beach State College- Lake Worth Campus,LUNA-300,Luna,Luna,1,South Florida,Active Service Contract,Active Service Contract,2023-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
ARES1252 - Ares Complete,ARES1252,Shipped,New Jersey Veterans Affairs Health Care System - East Orange Campus,ARES-300,Ares,Ares,0,NY/NJ,Service Contract has expired,Service Contract has expired,2023-04-27,2024-04-26,False,,,,,,False
JUNO3669 - Juno Base,JUNO3669,Shipped,Palm Beach State College- Lake Worth Campus,JUN-100,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2023-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3667 - Juno Base,JUNO3667,Shipped,Palm Beach State College- Lake Worth Campus,JUN-100,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2024-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3664 - Juno Base,JUNO3664,Shipped,Palm Beach State College- Lake Worth Campus,JUN-100,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2023-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3661 - Juno Base,JUNO3661,Shipped,Palm Beach State College- Lake Worth Campus,JUN-100,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2023-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3668 - Juno Base,JUNO3668,Shipped,Palm Beach State College- Lake Worth Campus,JUN-100,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2023-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3662 - Juno Base,JUNO3662,Shipped,Palm Beach State College- Lake Worth Campus,JUN-100,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2023-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3660 - Juno Base,JUNO3660,Shipped,Palm Beach State College- Lake Worth Campus,JUN-100,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2023-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3658 - Juno Base,JUNO3658,Shipped,Palm Beach State College- Lake Worth Campus,JUN-100,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2024-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3656 - Juno Base,JUNO3656,Shipped,Palm Beach State College- Lake Worth Campus,JUN-100,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2023-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3657 - Juno Base,JUNO3657,Shipped,Palm Beach State College- Lake Worth Campus,JUN-100,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2023-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
JUNO3654 - Juno Base,JUNO3654,Shipped,Palm Beach State College- Lake Worth Campus,JUN-100,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2025-04-27,2028-04-26,True,26.615890999999998,-80.0691435,Palm Beach State College- Lake Worth Campus,exact,100.0,True
LUNA0522 - Luna Advanced,LUNA0522,Shipped,Northern Virginia Community College - Annandale,LUNA-300,Luna,Luna,0,Carolinas/Virginias,Service Contract has expired,Service Contract has expired,2023-04-26,2024-04-25,False,,,,,,False
ARIA0421 - Aria,ARIA0421,Installed,Augustana University,PED-300,Aria,Aria,1,Northern Plains,Active Service Contract,Active Service Contract,2025-04-26,2026-04-25,True,43.5476008,-96.7293629,Augustana University,exact,100.0,True
ARIA0371 - Aria,ARIA0371,Installed,Inspira Medical Center Vineland,PED-300,Aria,Aria,1,Mid Atlantic,Active Service Contract,Active Service Contract,2025-04-30,2026-04-29,True,39.4862777,-75.0254256,Inspira Medical Center Vineland,exact,100.0,True
"APN0428 - Apollo Nursing Patient Simulator, Maestro",APN0428,Shipped,St. Petersburg College,FLEX-APN-MAESTRO,Apollo Nursing,Apollo,1,North Florida,Active Service Contract,Active Service Contract,2025-04-28,2026-04-27,True,,,,,,False
"APN0431DS - Apollo Nursing Patient Simulator, Maestro",APN0431DS,Shipped,St. Petersburg College,FLEX-APN-MAESTRO,Apollo Nursing,Apollo,0,North Florida,,Missing Contract Status,2024-04-26,2026-04-27,False,,,,,,False
MFS2791 - Lucina Patient Simulator with Maestro,MFS2791,Shipped,Ross College- Elyria,FLEX-MFS-MAESTRO,Lucina,Lucina,0,Great Lakes,Service Contract has expired,Service Contract has expired,2023-04-26,2024-04-25,False,,,,,,False
ARIA0428 - Aria,ARIA0428,Installed,Shenandoah University,PED-300,Aria,Aria,1,Carolinas/Virginias,Active Service Contract,Active Service Contract,2024-04-22,2028-04-21,True,39.1852184,-78.1652404,Shenandoah University,exact,100.0,True
"APP1117 - Apollo Pre-Hospital Patient Simulator, Maestro",APP1117,Installed,Wentworth-Douglass Hospital,FLEX-APH-MAESTRO,Apollo Pre-Hospital,Apollo,1,New England,Active Service Contract,Active Service Contract,2025-02-23,2028-02-22,True,43.1981117,-70.8739761,Wentworth-Douglass Hospital,exact,100.0,True
ARES1241 - Ares Complete,ARES1241,Shipped,Nacogdoches High School,ARES-300,Ares,Ares,1,North Texas,Active Service Contract,Active Service Contract,2025-04-22,2026-04-21,True,,,,,,False
JUNO3655 - Juno Base,JUNO3655,Shipped,Kea'au High School,JUN-100,Juno,Juno,0,Southern California,Service Contract has expired,Service Contract has expired,2024-04-22,2025-04-21,False,,,,,,False
JUNO3637 - Juno Base,JUNO3637,Shipped,Kea'au High School,JUN-100,Juno,Juno,0,Southern California,Service Contract has expired,Service Contract has expired,2024-04-22,2025-04-21,False,,,,,,False
"APN0434DS - Apollo Nursing Patient Simulator, Maestro",APN0434DS,Shipped,Community College of Denver,FLEX-APN-MAESTRO,Apollo Nursing,Apollo,1,West Plains,Active Service Contract,Active Service Contract,2023-04-21,2028-04-20,True,39.7392364,-104.984862,Community College of Denver,exact,100.0,True
"APN0422 - Apollo Nursing Patient Simulator, Maestro",APN0422,Shipped,Community College of Denver,FLEX-APN-MAESTRO,Apollo Nursing,Apollo,1,West Plains,Active Service Contract,Active Service Contract,2023-04-21,2028-04-20,True,39.7392364,-104.984862,Community College of Denver,exact,100.0,True
JUNO3639 - Juno Complete,JUNO3639,Shipped,Agawam High School,JUN-300,Juno,Juno,0,New England,,Missing Contract Status,2024-04-20,2026-04-19,False,,,,,,False
ARIA0424 - Aria,ARIA0424,Shipped,Eastwick College,PED-300,Aria,Aria,1,NY/NJ,Active Service Contract,Active Service Contract,2024-04-20,2028-04-19,True,,,,,,False
ARIA0422 - Aria,ARIA0422,Installed,Eastwick College (Hackensack),PED-300,Aria,Aria,1,NY/NJ,Active Service Contract,Active Service Contract,2024-04-20,2028-04-19,True,40.8870781,-74.0410667,Eastwick College (Hackensack),exact,100.0,True
